clave_municipio,nombre_municipio,clave_distrito,nombre_distrito
1,ACACOYAGUA,7,TONALA
2,ACALA,6,TUXTLA GUTIERREZ
3,ACAPETAHUA,7,TONALA
4,ALTAMIRANO,11,LAS MARGARITAS
5,AMATAN,2,BOCHIL
6,AMATENANGO DE LA FRONTERA,13,HUEHUETAN
7,AMATENANGO DEL VALLE,11,LAS MARGARITAS
8,ANGEL ALBINO CORZO,10,VILLAFLORES
9,ARRIAGA,7,TONALA
10,BEJUCAL DE OCAMPO,13,HUEHUETAN
11,BELLA VISTA,13,HUEHUETAN
12,BERRIOZABAL,4,PICHUCALCO
13,BOCHIL,2,BOCHIL
14,EL BOSQUE,2,BOCHIL
15,CACAHOATAN,12,TAPACHULA
16,CATAZAJA,1,PALENQUE
17,CINTALAPA,10,VILLAFLORES
18,COAPILLA,4,PICHUCALCO
19,COMITAN DE DOMINGUEZ,8,COMITAN DE DOMINGUEZ
20,LA CONCORDIA,10,VILLAFLORES
21,COPAINALA,4,PICHUCALCO
22,CHALCHIHUITAN,2,BOCHIL
23,CHAMULA,5,SAN CRISTOBAL DE LAS CASAS
24,CHANAL,11,LAS MARGARITAS
25,CHAPULTENANGO,4,PICHUCALCO
26,CHENALHO,2,BOCHIL
27,CHIAPA DE CORZO,6,TUXTLA GUTIERREZ
28,CHIAPILLA,6,TUXTLA GUTIERREZ
29,CHICOASEN,4,PICHUCALCO
30,CHICOMUSELO,13,HUEHUETAN
31,CHILON,3,OCOSINGO
32,ESCUINTLA,7,TONALA
33,FRANCISCO LEON,4,PICHUCALCO
34,FRONTERA COMALAPA,8,COMITAN DE DOMINGUEZ
35,FRONTERA HIDALGO,12,TAPACHULA
36,LA GRANDEZA,13,HUEHUETAN
37,HUEHUETAN,13,HUEHUETAN
38,HUITIUPAN,2,BOCHIL
39,HUIXTAN,11,LAS MARGARITAS
40,HUIXTLA,7,TONALA
41,LA INDEPENDENCIA,11,LAS MARGARITAS
42,IXHUATAN,2,BOCHIL
43,IXTACOMITAN,4,PICHUCALCO
44,IXTAPA,2,BOCHIL
45,IXTAPANGAJOYA,4,PICHUCALCO
46,JIQUIPILAS,10,VILLAFLORES
47,JITOTOL,2,BOCHIL
48,JUAREZ,4,PICHUCALCO
49,LARRAINZAR,2,BOCHIL
50,LA LIBERTAD,1,PALENQUE
51,MAPASTEPEC,7,TONALA
52,LAS MARGARITAS,11,LAS MARGARITAS
53,MAZAPA DE MADERO,13,HUEHUETAN
54,MAZATAN,13,HUEHUETAN
55,METAPA,12,TAPACHULA
56,MITONTIC,2,BOCHIL
57,MOTOZINTLA,13,HUEHUETAN
58,NICOLAS RUIZ,8,COMITAN DE DOMINGUEZ
59,OCOSINGO,3,OCOSINGO
60,OCOTEPEC,4,PICHUCALCO
61,OCOZOCOAUTLA DE ESPINOSA,6,TUXTLA GUTIERREZ
62,OSTUACAN,4,PICHUCALCO
63,OSUMACINTA,4,PICHUCALCO
64,OXCHUC,11,LAS MARGARITAS
65,PALENQUE,1,PALENQUE
66,PANTELHO,2,BOCHIL
67,PANTEPEC,4,PICHUCALCO
68,PICHUCALCO,4,PICHUCALCO
69,PIJIJIAPAN,7,TONALA
70,EL PORVENIR,13,HUEHUETAN
71,PUEBLO NUEVO SOLISTAHUACAN,2,BOCHIL
72,RAYON,4,PICHUCALCO
73,REFORMA,4,PICHUCALCO
74,LAS ROSAS,8,COMITAN DE DOMINGUEZ
75,SABANILLA,1,PALENQUE
76,SALTO DE AGUA,1,PALENQUE
77,SAN CRISTOBAL DE LAS CASAS,5,SAN CRISTOBAL DE LAS CASAS
77,SAN CRISTOBAL DE LAS CASAS,11,LAS MARGARITAS
78,SAN FERNANDO,4,PICHUCALCO
79,SAN JUAN CANCUC,5,SAN CRISTOBAL DE LAS CASAS
80,SAN LUCAS,5,SAN CRISTOBAL DE LAS CASAS
81,SILTEPEC,13,HUEHUETAN
82,SIMOJOVEL,2,BOCHIL
83,SITALA,3,OCOSINGO
84,SOCOLTENANGO,8,COMITAN DE DOMINGUEZ
85,SOLOSUCHIAPA,4,PICHUCALCO
86,SOYALO,2,BOCHIL
87,SUCHIAPA,6,TUXTLA GUTIERREZ
88,SUCHIATE,12,TAPACHULA
89,SUNUAPA,4,PICHUCALCO
90,TAPACHULA,12,TAPACHULA
90,TAPACHULA,13,HUEHUETAN
91,TAPALAPA,4,PICHUCALCO
92,TAPILULA,4,PICHUCALCO
93,TECPATAN,4,PICHUCALCO
94,TENEJAPA,5,SAN CRISTOBAL DE LAS CASAS
95,TEOPISCA,11,LAS MARGARITAS
96,TILA,1,PALENQUE
97,TONALA,7,TONALA
98,TOTOLAPA,6,TUXTLA GUTIERREZ
99,LA TRINITARIA,8,COMITAN DE DOMINGUEZ
100,TUMBALA,1,PALENQUE
101,TUXTLA CHICO,12,TAPACHULA
102,TUXTLA GUTIERREZ,6,TUXTLA GUTIERREZ
102,TUXTLA GUTIERREZ,9,TUXTLA GUTIERREZ
103,TUZANTAN,13,HUEHUETAN
104,TZIMOL,8,COMITAN DE DOMINGUEZ
105,UNION JUAREZ,12,TAPACHULA
106,VENUSTIANO CARRANZA,8,COMITAN DE DOMINGUEZ
107,VILLACOMALTITLAN,7,TONALA
108,VILLA CORZO,10,VILLAFLORES
109,VILLAFLORES,10,VILLAFLORES
110,YAJALON,1,PALENQUE
111,ZINACANTAN,5,SAN CRISTOBAL DE LAS CASAS
112,ALDAMA,2,BOCHIL
113,BENEMERITO DE LAS AMERICAS,3,OCOSINGO
114,MARAVILLA TENEJAPA,11,LAS MARGARITAS
115,MARQUES DE COMILLAS,3,OCOSINGO
116,MONTECRISTO DE GUERRERO,10,VILLAFLORES
117,SAN ANDRES DURAZNAL,2,BOCHIL
118,SANTIAGO EL PINAR,2,BOCHIL
119,CAPITAN LUIS ANGEL VIDAL,13,HUEHUETAN
120,RINCON CHAMULA SAN PEDRO,2,BOCHIL
121,EL PARRAL,10,VILLAFLORES
122,EMILIANO ZAPATA,6,TUXTLA GUTIERREZ
123,MEZCALAPA,4,PICHUCALCO
124,HONDURAS DE LA SIERRA,13,HUEHUETAN
